Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Imp Vol","20D His Vol"
$SPX|20211105|4310.00WC,$SPX,"4,310.00",+1.08%,124.90,125.50,126.10,91.37,-54.17,-37.22%,12,0,0.00,19.30%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4315.00WC,$SPX,"4,315.00",+0.96%,121.40,122.05,122.70,109.67,-69.03,-38.63%,3,0,0.00,19.17%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4320.00WC,$SPX,"4,320.00",+0.85%,117.90,118.50,119.10,111.02,-20.12,-15.34%,133,0,0.00,19.01%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4325.00WC,$SPX,"4,325.00",+0.74%,114.50,115.05,115.60,103.20,-21.70,-17.37%,42,0,0.00,18.86%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4330.00WC,$SPX,"4,330.00",+0.62%,111.00,111.60,112.20,109.97,-15.39,-12.28%,238,0,0.00,18.71%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4335.00WC,$SPX,"4,335.00",+0.51%,107.60,108.20,108.80,101.59,-28.05,-21.64%,49,0,0.00,18.56%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4340.00WC,$SPX,"4,340.00",+0.39%,104.20,104.85,105.50,97.76,-25.34,-20.58%,106,0,0.00,18.41%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4345.00WC,$SPX,"4,345.00",+0.28%,100.90,101.50,102.10,79.95,-17.59,-18.03%,6,0,0.00,18.26%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4350.00WC,$SPX,"4,350.00",+0.16%,97.70,98.25,98.80,117.50,9.85,+9.15%,8,0,0.00,18.11%,Call,35,11/05/21,09/29/21,17.24%,13.46%
$SPX|20211105|4355.00WC,$SPX,"4,355.00",+0.05%,94.40,94.95,95.50,91.80,-16.70,-15.39%,3,0,0.00,17.95%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4360.00WC,$SPX,"4,360.00",-0.07%,91.10,91.70,92.30,94.13,-9.18,-8.89%,8,0,0.00,17.79%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4365.00WC,$SPX,"4,365.00",-0.18%,88.00,88.55,89.10,108.70,10.27,+10.43%,18,0,0.00,17.65%,Call,35,11/05/21,09/29/21,17.24%,13.46%
